22,17
32,11
3305,10
199,10
78,10
4022,10
58,10
198,10
200,10
108,10
3304,10
248,9
102,9
75,9
4061,8
63,8
59,8
68,8
56,7
1512,7
89,7
3711,6
21,6
74,6
92,6
1531,6
85,5
1897,5
3762,5
106,5
23,5
1254,5
3448,5
3728,5
1889,5
1891,5
1892,5
1495,4
43,4
3720,4
205,4
4033,4
3690,4
57,4
112,4
1280,4
4019,4
1887,4
3699,4
3712,4
60,4
1888,4
77,4
1021,4
1904,4
79,4
952,3
1029,3
55,3
3731,3
1181,3
3404,3
88,3
742,3
87,3
42,3
1172,3
1152,3
208,3
3698,3
4026,3
3703,3
1192,3
3706,3
3725,3
64,3
3128,3
61,3
3713,3
1577,3
44,3
2058,2
519,2
1915,2
574,2
576,2
1127,2
1595,2
2363,2
3722,2
2807,2
111,2
3306,2
2816,2
2817,2
3361,2
3696,2
49,2
3307,2
2069,2
2255,2
2989,2
3032,2
2040,2
188,2
54,2
3309,2
110,2
2815,2
430,2
2814,2
2061,2
216,2
2106,2
86,2
1372,2
3060,2
3539,2
3688,2
3310,2
237,2
3127,2
3349,2
428,2
3916,2
GASTRIC,2
2039,2
2054,2
2098,2
494,2
4025,2
3316,2
2097,2
76,2
73,2
423,2
1046,2
3748,2
1916,2
PANCREATITIS,2
217,2
1190,2
235,2
3865,2
2045,2
905,2
3444,2
3447,2
1180,2
2026,2
2108,2
3313,2
2043,2
2808,2
3487,2
2921,2
2044,2
935,2
2809,2
3902,2
105,2
930,2
2979,1
3028,1
2821,1
PEPTIC,1
190,1
114,1
2988,1
1012,1
2567,1
391,1
116,1
GASTRITIS,1
4495,1
2382,1
2822,1
1144,1
3459,1
118,1
1268,1
4035,1
1329,1
2823,1
3763,1
1317,1
937,1
3995,1
3996,1
933,1
1333,1
2420,1
164,1
2529,1
82,1
2825,1
3920,1
3000,1
982,1
3285,1
2824,1
1264,1
3493,1
1336,1
980,1
3496,1
3710,1
2460,1
1311,1
2381,1
2820,1
786,1
1120,1
2905,1
2901,1
2256,1
103,1
3465,1
4498,1
825,1
2417,1
2798,1
1154,1
2898,1
3716,1
1326,1
1307,1
CHOLEDOCHOLITHIASIS,1
2270,1
4023,1
3134,1
120,1
989,1
1983,1
3982,1
587,1
1890,1
1150,1
4499,1
ANISAKIASIS,1
4146,1
3903,1
2953,1
155,1
152,1
741,1
3501,1
871,1
1516,1
1518,1
3704,1
1185,1
19,1
3379,1
2899,1
3689,1
2027,1
236,1
96,1
1914,1
167,1
2956,1
1910,1
3729,1
1594,1
953,1
1896,1
1050,1
1351,1
100,1
3733,1
1360,1
2001,1
998,1
790,1
1603,1
1300,1
3084,1
2004,1
985,1
1481,1
3700,1
72,1
107,1
119,1
2003,1
3718,1
207,1
1173,1
893,1
3915,1
1177,1
1001,1
3732,1
5,1
18,1
41,1
957,1
950,1
2819,1
1353,1
4494,1
3616,1
2680,1
3715,1
2544,1
824,1
PYLORIC,1
1196,1
2432,1
2013,1
1534,1
2112,1
4496,1
849,1
875,1
3503,1
3010,1
33,1
2578,1
902,1
104,1
3314,1
143,1
3918,1
4117,1
2667,1
3954,1
1257,1
2448,1
2014,1
1338,1
2029,1
3617,1
2813,1
1341,1
1540,1
1960,1
658,1
3013,1
956,1
2366,1
1032,1
6,1
1005,1
3088,1
183,1
3697,1
1581,1
1580,1
3691,1
853,1
852,1
3211,1
3717,1
3188,1
53,1
GASTROINTESTINAL,1
69,1
66,1
65,1
62,1
2449,1
2028,1
2923,1
3615,1
